Time,RPM,Temperature,PH
11:39:40,510,20.0,5
11:39:41,510,20.0,5
11:39:42,510,20.0,5
11:39:43,400,20.0,5
11:39:44,510,20.0,5
11:39:45,400,20.0,5
11:39:46,510,20.0,5
11:39:47,540,20.0,5
11:39:48,510,20.0,5
11:39:49,400,20.0,5
11:39:50,400,20.0,5
11:39:51,630,20.0,5
11:39:52,630,20.0,5
11:39:53,540,20.0,5
11:39:54,540,20.0,5
11:39:55,510,20.0,5
11:39:56,400,20.0,5
11:39:57,510,20.0,5
11:39:58,510,20.0,5
11:39:59,510,20.0,5
11:40:0,510,20.0,5
11:40:1,400,20.0,5
11:40:2,510,20.0,5
11:40:3,510,20.0,5
11:40:4,510,20.0,5
11:40:5,510,20.0,5
11:40:6,510,20.0,5
11:40:7,510,20.0,5
11:40:8,510,20.0,5
11:40:9,510,20.0,5
11:40:10,510,20.0,5
11:40:11,510,20.0,5
11:40:12,510,20.0,5
11:40:13,510,20.0,5
11:40:14,510,20.0,5
11:40:15,510,20.0,5
11:40:16,510,20.0,5
11:40:18,540,20.0,5
11:40:19,400,20.0,5
11:40:20,510,20.0,5
11:40:21,510,20.0,5
11:40:22,510,20.0,5
11:40:23,510,20.0,5
11:40:24,510,20.0,5
11:40:25,540,20.0,5
11:40:26,400,20.0,5
11:40:27,540,20.0,5
11:40:28,400,20.0,5
11:40:29,510,20.0,5
11:40:30,540,20.0,5
11:40:31,510,20.0,5
11:40:32,400,20.0,5
11:40:33,510,20.0,5
11:40:34,510,20.0,5
11:40:35,510,20.0,5
11:40:36,510,20.0,5
11:40:37,510,20.0,5
11:40:38,510,20.0,5
11:40:39,400,20.0,5
11:40:40,540,20.0,5
11:40:41,510,20.0,5
11:40:42,510,20.0,5
11:40:43,510,20.0,5
11:40:44,510,20.0,5
11:40:45,510,20.0,5
11:40:46,510,20.0,5
11:40:47,510,20.0,5
11:40:48,400,20.0,5
11:40:49,540,20.0,5
11:40:50,510,20.0,5
11:40:51,400,20.0,5
11:40:52,540,20.0,5
11:40:53,510,20.0,5
11:40:54,510,20.0,5
11:40:55,400,20.0,5
11:40:56,540,20.0,5
11:40:57,510,20.0,5
11:40:58,510,20.0,5
11:40:59,400,20.0,5
11:41:0,540,20.0,5
11:41:9,600,20.0,5
11:41:10,1590,20.0,5
11:41:11,1860,20.0,5
11:41:12,1890,20.0,5
11:41:13,1920,20.0,5
11:41:14,1890,20.0,5
11:41:15,1890,20.0,5
11:41:16,1950,20.0,5
11:41:17,1920,20.0,5
11:41:18,1950,20.0,5
11:41:19,1950,20.0,5
11:41:20,1980,20.0,5
11:41:21,1950,20.0,5
11:41:22,1980,20.0,5
11:41:23,1980,20.0,5
11:41:24,1950,20.0,5
11:41:25,1980,20.0,5
11:41:26,1950,20.0,5
11:41:27,1980,20.0,5
11:41:28,1950,20.0,5
11:41:29,1980,20.0,5
11:41:30,1980,20.0,5
11:41:31,1950,20.0,5
11:41:32,1980,20.0,5
11:41:33,1980,20.0,5
11:41:34,1980,20.0,5
11:41:35,1980,20.0,5
11:41:36,1950,20.0,5
11:41:37,1980,20.0,5
11:41:38,1980,20.0,5
11:41:39,1980,20.0,5
11:41:40,1980,20.0,5
11:41:41,1980,20.0,5
11:41:42,1980,20.0,5
11:41:43,1980,20.0,5
11:41:44,1950,20.0,5
11:41:45,1980,20.0,5
11:41:47,1980,20.0,5
11:41:48,2010,20.0,5
11:41:49,1980,20.0,5
11:41:50,2010,20.0,5
11:41:51,1980,20.0,5
11:41:52,1980,20.0,5
11:41:53,2010,20.0,5
11:41:54,2010,20.0,5
11:41:55,2010,20.0,5
11:41:56,1980,20.0,5
11:41:57,2010,20.0,5
11:41:58,2010,20.0,5
11:41:59,2010,20.0,5
11:42:0,2010,20.0,5
11:42:1,2010,20.0,5
11:42:2,2010,20.0,5
11:42:3,1980,20.0,5
11:42:4,2010,20.0,5
11:42:5,2010,20.0,5
11:42:6,1980,20.0,5
11:42:7,2010,20.0,5
11:42:8,2010,20.0,5
11:42:9,2010,20.0,5
11:42:10,2010,20.0,5
11:42:11,2040,20.0,5
11:42:12,2010,20.0,5
11:42:13,2010,20.0,5
11:42:14,2010,20.0,5
11:42:15,2010,20.0,5
11:42:16,2040,20.0,5
11:42:17,2010,20.0,5
11:42:18,1980,20.0,5
11:42:19,2010,20.0,5
11:42:20,2040,20.0,5
11:42:21,2010,20.0,5
11:42:22,2010,20.0,5
11:42:23,2010,20.0,5
11:42:24,2010,20.0,5
